Timestamp,Label,Assumed_Power_W,PUE,Year,Total_Wall_Time_s,Total_Energy_kWh,Country,Intensity_kgCO2_per_kWh,Emissions_kgCO2
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Singapore,498.74182,0.0294046747571958
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Cambodia,497.45547,0.0293288345090812
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Oceania (Ember),493.4236,0.0290911246935833
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Mexico,484.83173,0.0285845677280854
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Malta,484.1629,0.0285451350440208
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Japan,482.32416,0.0284367271473999
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,World,473.0065,0.0278873792667708
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Vietnam,471.15857,0.0277784295488104
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Turkey,469.697,0.0276922587310416
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,G20 (Ember),468.98517,0.0276502908655187
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Bolivia,468.0162,0.027593162614875
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Russia,449.19592,0.0264835620358833
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,South Korea,414.2726,0.0244245631212916
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Czechia,413.85922,0.0244001911838208
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Montenegro,413.5135,0.0243798083248958
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,Pakistan,398.6102,0.0235011439102916
2025-10-13T10:15:04.992790Z,Classical GNFS (YAFU),65.0,1.2,2024,2.721125,5.895770833333333e-05,United States,383.5492,0.0226131818650833
